;;;;;; ;;;;;;;;;;;;;;;;;;;;;
;;;;U;Z;;;A;;;;;Watt;;;;;;;;;;;;;;
;;Bauteil;Typ;"U-Wert
W/m²*K";"Wärme
brücken
Zuschlag
W/m²*K";"Länge 
m";"Höhe / Breite
m
";"Fläche
 m²";"Temp.
Raum
°C
";"Temp.
angr.
°C
";"fx
";"ΔT
K";"Heizlast
((U + Z) * A * fx *  ΔT)";;;;;;;;;;;;;;
Wohnung 6;6224 W;67,14 m²;;;;;;;;;;;;;;;;;;;;;;;;;
Zimmer 1;;;;;;;;;;;;;;;;;;;;;;;;;;;
Transmissionswärmeverlust W;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fläche ;15,46 m²;Außenwand;Wand massive Konstruktion Vollziegel verputzt größer 30 cm;1,5;0,1;2,85;3,85;8,67;20;-12;1;32;0444 W;;;;;;;;;;;;;;
Raumhöhe;3,50 m;Fenster 1;Fenster Holzrahmen Zweifachverglasung;2,7;0,1;1,15;2,00;2,30;20;-12;1;32;0206 W;;;;;;;;;;;;;;
Raumtemperatur;RT 20 °C;Wand Nebengebäude;Wand massive Konstruktion Vollziegel verputzt größer 30 cm;1,5;0,1;5,95;3,85;22,91;20;15;0,16;32;0183 W;;;;;;;;;;;;;;
Temperaturdiffernz;ΔT 32 K;Wand Zimmer 2;Wand massive Konstruktion Vollziegel verputzt 20 bis 30 cm;1,8;0;2,80;3,85;8,74;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
Luftwechsel;LW 0,50;Tür Zimmer 2;Türen Holzwerkstoff;2,9;0;0,95;2,15;2,04;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
Deckenhöhe;0,35m;Wand Bad;Rapitzwand;2,5;0;4,70;3,85;18,10;20;24;-0,13;32;-0181 W;;;;;;;;;;;;;;
;;Wand Flur;Rapitzwand;2,5;0;1,30;3,85;3,07;20;15;0,16;32;0038 W;;;;;;;;;;;;;;
;;Tür Zimmer 1;Türen Holzwerkstoff;2,9;0;0,90;2,15;1,94;20;15;0,16;32;0028 W;;;;;;;;;;;;;;
;;Fußboden;Geschossdecke Holzbalkenbauweise;1;0;;;15,46;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
;;Decke;Geschossdecke Holzbalkenbauweise;1;0;;;15,46;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;0719 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;V m³;cp;;;cp * (V * LW) * (RT - AT);;;;;;;;;;;;;;
Lüftungswärmeverlust W;;;;;;0,5;3,50;15,46; 54,11   ;0,34;;;0294 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Summe Heizlast Zimmer 1;;;;;;;;;;;;;1013 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zimmer 2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Transmissionswärmeverlust W;;Außenwand;Wand massive Konstruktion Vollziegel verputzt größer 30 cm;1,5;0,1;4,25;3,85;9,16;20;-12;1,00;32;0469 W;;;;;;;;;;;;;;
Fläche ;24,14 m²;Fenster 1;Fenster Kunststoff Zweifach Isolierverglasung;1,2;0,1;;;7,20;20;-12;1,00;32;0300 W;;;;;;;;;;;;;;
Raumhöhe;3,50 m;Wand Nebengebäude;Wand massive Konstruktion Vollziegel verputzt größer 30 cm;1,5;0,1;6,52;3,85;25,10;20;15;0,16;32;0201 W;;;;;;;;;;;;;;
Raumtemperatur;RT 20 °C;Wand Zimmer 1;Wand massive Konstruktion Vollziegel verputzt größer 30 cm;1,5;0;2,82;3,85;10,86;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
Temperaturdiffernz;ΔT 32 K;Tür Zimmer 1;Türen Holzwerkstoff;2,9;0;0,90;2,15;1,94;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
Luftwechsel;LW 0,50;Wand Küche WE 4;Wand massive Konstruktion Vollziegel verputzt 20 bis 30 cm;1,8;0;4,00;3,85;15,40;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
Deckenhöhe;0,35m;Wand Flur;Wand massive Konstruktion Vollziegel verputzt größer 30 cm;1,5;0;3,00;3,85;9,62;20;15;0,16;32;0072 W;;;;;;;;;;;;;;
;;Tür Zimmer 2;Türen Holzwerkstoff;2,9;0;0,90;2,15;1,94;20;15;0,16;32;0028 W;;;;;;;;;;;;;;
;;Fußboden;Geschossdecke Holzbalkenbauweise;1;0;;;24,14;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
;;Decke;Geschossdecke Holzbalkenbauweise;1;0;;;24,14;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;1070 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;V m³;cp;;;cp * (V * LW) * (RT - AT);;;;;;;;;;;;;;
Lüftungswärmeverlust W;;;;;;0,5;3,50;24,14;84,49;0,34;;;0460 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Summe Heizlast Zimmer 2;;;;;;;;;;;;;1529 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bad ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Transmissionswärmeverlust W;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fläche ;05,96 m²;Außenwand;Wand massive Konstruktion Vollziegel verputzt größer 30 cm;1,5;0,1;3,00;3,85;10,05;24;-12;1,00;36;0579 W;;;;;;;;;;;;;;
Raumhöhe;3,50 m;Fenster;Fenster Holzrahmen Zweifachverglasung;2,7;0,1;0,75;2,00;1,50;24;-12;1,00;36;0151 W;;;;;;;;;;;;;;
Raumtemperatur;RT 24 °C;Wand Zimmer 1;Rapitzwand;2,5;0;4,70;3,85;18,10;24;20;0,11;36;0181 W;;;;;;;;;;;;;;
Temperaturdiffernz;ΔT 36 K;Wand WC;Rapitzwand;2,5;0;2,50;3,85;9,63;24;20;0,11;36;0096 W;;;;;;;;;;;;;;
Luftwechsel;LW 1,92;Wand Abstelraum;Rapitzwand;2,5;0;1,00;3,85;3,85;24;15;0,25;36;0087 W;;;;;;;;;;;;;;
Deckenhöhe;0,35m;Wand Flur;Rapitzwand;2,5;0;1,10;3,85;2,84;24;15;0,25;36;0064 W;;;;;;;;;;;;;;
;;Tür Bad;Türen Holzwerkstoff;2,9;0;0,70;2,00;1,40;24;15;0,25;36;0037 W;;;;;;;;;;;;;;
;;Fußboden;Geschossdecke Holzbalkenbauweise;1;0;;;5,96;24;24;0,00;36;0000 W;;;;;;;;;;;;;;
;;Decke;Geschossdecke Holzbalkenbauweise;1;0;;;5,96;24;24;0,00;36;0000 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;1194 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;V m³;cp;;;cp * (V * LW) * (RT - AT);;;;;;;;;;;;;;
Lüftungswärmeverlust W;;;;;;1,92;3,50;5,96;20,86;0,34;;;0490 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Summe Heizlast Bad;;;;;;;;;;;;;1684 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Küche;;;;;;;;;;;;;;;;;;;;;;;;;;;
Transmissionswärmeverlust W;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fläche ;09,60 m²;Außenwand;Wand massive Konstruktion Vollziegel verputzt größer 30 cm;1,5;0,1;2,60;3,85;8,11;20;-12;1,00;32;0415 W;;;;;;;;;;;;;;
Raumhöhe;3,50 m;Fenster;Fenster Holzrahmen Zweifachverglasung;2,7;0,1;0,95;2,00;1,90;20;-12;1,00;32;0170 W;;;;;;;;;;;;;;
Raumtemperatur;RT 20 °C;Wand Treppenhaus;Wand massive Konstruktion Vollziegel verputzt größer 30 cm;1,5;0,1;4,20;3,85;16,17;20;10;0,31;32;0259 W;;;;;;;;;;;;;;
Temperaturdiffernz;ΔT 32 K;Wand Flur;Rapitzwand;2,5;0;3,30;3,85;10,77;20;15;0,16;32;0135 W;;;;;;;;;;;;;;
Luftwechsel;LW 0,50;Tür Küche;Türen Holzwerkstoff;2,9;0;0,90;2,15;1,94;20;15;0,16;32;0028 W;;;;;;;;;;;;;;
Deckenhöhe;0,35m;Wand Abstellraum;Rapitzwand;2,5;0;1,00;3,85;2,59;20;15;0,16;32;0032 W;;;;;;;;;;;;;;
;;Tür Abstellraum;Türen Holzwerkstoff;2,9;0;0,70;1,80;1,26;20;15;0,16;32;0018 W;;;;;;;;;;;;;;
;;Wand WC;Rapitzwand;2,5;0;2,00;3,85;7,70;20;15;0,16;32;0096 W;;;;;;;;;;;;;;
;;Fußboden;Geschossdecke Holzbalkenbauweise;1;0;;;9,60;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
;;Decke;Geschossdecke Holzbalkenbauweise;1;0;;;9,60;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;1154 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;V m³;cp;;;cp * (V * LW) * (RT - AT);;;;;;;;;;;;;;
Lüftungswärmeverlust W;;;;;;0,5;3,50;9,60;33,60;0,34;;;0183 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Summe Heizlast Küche;;;;;;;;;;;;;1337 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
WC (Außenwand über Abstellraum), (+ Raumvolumen über Abstellraum);;;;;;;;;;;;;;;;;;;;;;;;;;;
Transmissionswärmeverlust W;;Außenwand;Wand massive Konstruktion Vollziegel verputzt größer 30 cm;1,5;0,1;0,80;1,85;1,00;20;-12;1,00;32;0051 W;;;;;;;;;;;;;;
Fläche ;02,98 m²;Fenster;Fenster Holzrahmen Zweifachverglasung;2,7;0,1;0,37;1,30;0,48;20;-12;1,00;32;0043 W;;;;;;;;;;;;;;
Raumhöhe;3,50 m;Wand Bad;Rapitzwand;2,5;0;2,50;3,85;9,63;20;24;-0,13;32;-0096 W;;;;;;;;;;;;;;
Raumtemperatur;RT 20 °C;Wand Abstellraum;Rapitzwand;2,5;0;1,10;2,00;2,20;20;15;0,16;32;0028 W;;;;;;;;;;;;;;
Temperaturdiffernz;;Wand Küche;Rapitzwand;2,5;0;2,50;3,85;9,63;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
Luftwechsel;LW 2,00;Wand Flur;Rapitzwand;2,5;0;1,50;3,85;4,52;20;15;0,16;32;0056 W;;;;;;;;;;;;;;
Deckenhöhe;0,35m;Tür WC;Türen Holzwerkstoff;2,9;0;0,70;1,80;1,26;20;15;0,16;32;0018 W;;;;;;;;;;;;;;
;;Fußboden;Geschossdecke Holzbalkenbauweise;1;0;;;2,98;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
;;Decke;Geschossdecke Holzbalkenbauweise;1;0;;;2,98;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
über Abstellraum;;Wand Bad;Rapitzwand;2,5;0;1,00;1,85;1,85;20;24;-0,13;32;-0019 W;;;;;;;;;;;;;;
;;Wand Küche;Rapitzwand;2,5;0;1,00;1,85;1,85;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
;;Decke ;Geschossdecke Holzbalkenbauweise;1;0;;;0,82;20;15;0,16;32;0004 W;;;;;;;;;;;;;;
;;Decke zu Abstellraum;Decke Abstellraum;2,1;0;;;0,82;20;15;0,16;32;0009 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;0094 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;V m³;cp;;;cp * (V * LW) * (RT - AT);;;;;;;;;;;;;;
;;;;;;LW 2,00;3,50;02,98 m²;10,43;0,34;;;0227 W;;;;;;;;;;;;;;
;;;;;;LW 2,00;1,50;00,82 m²;1,23;0,34;;;0027 W;;;;;;;;;;;;;;
;;;;;;;;;11,66;;;;;;;;;;;;;;;;;;
Summe Heizlast WC;;;;;;;;;;;;;0670 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Abstellraum (unbeheizt);;;;;;;;;;;;;;;;;;;;;;;;;;;
Transmissionswärmeverlust W;;Außenwand;Wand massive Konstruktion Vollziegel verputzt größer 30 cm;1,5;0,1;1,00;2,00;1,56;15;-12;1,00;27;0067 W;;;;;;;;;;;;;;
Fläche ;00,82 m²;Fenster;Fenster Holzrahmen Zweifachverglasung;2,7;0,1;0,37;1,20;0,44;15;-12;1,00;27;0034 W;;;;;;;;;;;;;;
Raumhöhe;2,00 m;Wand Küche;Rapitzwand;2,5;0;1,00;2,00;0,74;15;20;-0,19;27;-0009 W;;;;;;;;;;;;;;
Raumtemperatur;RT 15 °C;Tür Abstellraum;Türen Holzwerkstoff;2,9;0;0,70;1,80;1,26;15;20;-0,19;27;-0018 W;;;;;;;;;;;;;;
Temperaturdiffernz;ΔT 27 K;Wand WC;Rapitzwand;2,5;0;1,10;2,00;2,20;15;20;-0,19;27;-0028 W;;;;;;;;;;;;;;
Luftwechsel;LW 0,20;Wand Bad;Rapitzwand;2,5;0;1,00;2,00;2,00;15;24;-0,33;27;-0045 W;;;;;;;;;;;;;;
;;Fußboden;Geschossdecke Holzbalkenbauweise;1;0;;;0,82;15;15;0,00;27;0000 W;;;;;;;;;;;;;;
;;Decke Abstellraum;Decke Abstellraum;2,1;1;;;0,82;15;20;-0,19;27;-0013 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;-0012 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;V m³;cp;;;cp * (V * LW) * (RT - AT);;;;;;;;;;;;;;
;;;;;;0,2;2,00;00,82 m²;1,64;0,34;;;0004 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Summe Heizlast Abstellraum;;;;;;;;;;;;;-0008 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Flur (unbeheizt);;;;;;;;;;;;;0504 W;;;;;;;;;;;;;;
Transmissionswärmeverlust W;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fläche ;08,18 m²;Wand Treppenhaus;Wand massive Konstruktion Vollziegel verputzt 20 bis 30 cm;1,8;0,1;1,75;3,85;4,55;15;10;;5;0010 W;;;;;;;;;;;;;;
Raumhöhe;3,50 m;Wohnungstür;Türen Holzwerkstoff;2,9;0,1;0,95;2,30;2,19;15;10;;5;0015 W;;;;;;;;;;;;;;
Raumtemperatur;RT 15 °C;;;;;;;;;;;;0025 W;;;;;;;;;;;;;;
Temperaturdiffernz;;;;;;;;;;;;;;;;;;;;;;;;;;;
Luftwechsel;LW 0,20;;;;;;;;V m³;cp;;;cp * (V * LW) * (RT - RT TH);;;;;;;;;;;;;;
Lüftungswärmeverlust W;;;;;;0,2;3,50;8,18;28,63;0,34;;;0010 W;;;;;;;;;;;;;;
Deckenhöhe;0,35m;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Summe Heizlast Flur;;;;;;;;;;;;;-0470 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wohnung 7;5416 W;69,51 m²;;;;;;;;;;;;;;;;;;;;;;;;;
Zimmer 1;;;;;;;;;;;;;;;;;;;;;;;;;;;
Transmissionswärmeverlust W;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fläche ;18,80 m²;Außenwand;Wand massive Konstruktion Vollziegel verputzt größer 30 cm;1,5;0,1;6,30;3,85;17,96;20;-12;1;32;0919 W;;;;;;;;;;;;;;
Raumhöhe;3,50 m;Fenster 1;Kastenfenster;2,2;0,1;;;6,30;20;-12;1;32;0464 W;;;;;;;;;;;;;;
Raumtemperatur;RT 20 °C;Wand Abstellraum;Rapitzwand;2,5;0;1,80;2,50;4,50;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
Temperaturdiffernz;ΔT 32 K;Wand Bad;Rapitzwand;2,5;0;2,50;3,85;9,63;20;24;-0,13;32;-0096 W;;;;;;;;;;;;;;
Luftwechsel;LW 0,50;Wand Zimmer 2;Rapitzwand;2,5;0;4,30;3,85;16,56;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
Deckenhöhe;0,35m;Wand Flur;Rapitzwand;2,5;0;3,60;3,85;11,93;20;15;0,16;32;0149 W;;;;;;;;;;;;;;
;;Tür Zimmer 1;Türen Holzwerkstoff;2,9;0;0,90;2,15;1,94;20;15;0,16;32;0028 W;;;;;;;;;;;;;;
;;Fußboden;Geschossdecke Holzbalkenbauweise;1;0;;;18,80;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
;;Decke;Geschossdecke Holzbalkenbauweise;1;0;;;18,80;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
über Abstellraum;;Wand zu Bad;Rapitzwand;2,5;0;1,5;1,35;2,03;20;24;-0,13;32;-0020 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;1444 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;V m³;cp;;;cp * (V * LW) * (RT - AT);;;;;;;;;;;;;;
Lüftungswärmeverlust W;;;;;;0,5;3,50;18,80; 65,80   ;0,34;;;0358 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Summe Heizlast Zimmer 1;;;;;;;;;;;;;1802 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zimmer 2 ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Transmissionswärmeverlust W;;Außenwand;Wand massive Konstruktion Vollziegel verputzt größer 30 cm;1,5;0,1;3,80;3,85;9,60;20;-12;1,00;32;0491 W;;;;;;;;;;;;;;
Fläche ;24,14 m²;Fenster 1;Kastenfenster;2,2;0,1;0,95;2,25;2,14;20;-12;1,00;32;0157 W;;;;;;;;;;;;;;
Raumhöhe;3,50 m;Fenster 2;Kastenfenster;2,2;0,1;0,95;3,05;2,90;20;-12;1,00;32;0213 W;;;;;;;;;;;;;;
Raumtemperatur;RT 20 °C;Wand Zimmer 3 WE 5;Wand massive Konstruktion Vollziegel verputzt 20 bis 30 cm;1,8;0;5,80;3,85;22,33;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
Temperaturdiffernz;ΔT 32 K;Wand Zimmer 1;Wand massive Konstruktion Vollziegel verputzt größer 30 cm;1,5;0;4,30;3,85;16,56;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
Luftwechsel;LW 0,50;Wand Flur WE 5;Wand massive Konstruktion Vollziegel verputzt 20 bis 30 cm;1,8;0;4,20;3,85;16,17;20;15;0,16;32;0146 W;;;;;;;;;;;;;;
Deckenhöhe;0,35m;Wand Flur;Rapitzwand;2,5;0;1,60;3,85;4,23;20;15;0,16;32;0053 W;;;;;;;;;;;;;;
;;Tür Zimmer 2;Türen Holzwerkstoff;2,9;0;0,90;2,15;1,94;20;15;0,16;32;0028 W;;;;;;;;;;;;;;
;;Fußboden;Geschossdecke Holzbalkenbauweise;1;0;;;24,14;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
;;Decke;Geschossdecke Holzbalkenbauweise;1;0;;;24,14;20;20;0,00;32;0000 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;1088 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;V m³;cp;;;cp * (V * LW) * (RT - AT);;;;;;;;;;;;;;
Lüftungswärmeverlust W;;;;;;0,5;3,50;24,14;84,49;0,34;;;0460 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Summe Heizlast Zimmer 2;;;;;;;;;;;;;1548 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bad (Außenwand über Abstellraum), (+ Raumvolumen über Abstellraum);;;;;;;;;;;;;;;;;;;;;;;;;;;
Transmissionswärmeverlust W;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fläche ;03,44 m²;Wand Zimmer 1;Rapitzwand;2,5;0;2,50;3,85;9,63;24;20;0,11;36;0096 W;;;;;;;;;;;;;;
Raumhöhe;3,50 m;Wand Küche;Rapitzwand;2,5;0;2,50;3,85;9,63;24;20;0,11;36;0096 W;;;;;;;;;;;;;;
Raumtemperatur;RT 24 °C;Wand Abstelraum;Rapitzwand;2,5;0;1,50;2,00;3,00;24;15;0,25;36;0068 W;;;;;;;;;;;;;;
Temperaturdiffernz;;Wand Flur;Rapitzwand;2,5;0;1,50;3,85;4,52;24;15;0,25;36;0102 W;;;;;;;;;;;;;;
Luftwechsel;3,32;Tür Bad;Türen Holzwerkstoff;2,9;0;0,70;1,80;1,26;24;15;0,25;36;0033 W;;;;;;;;;;;;;;
Deckenhöhe;0,35m;Fußboden;Geschossdecke Holzbalkenbauweise;1;0;;;3,44;24;20;0,11;36;0014 W;;;;;;;;;;;;;;
;;Decke;Geschossdecke Holzbalkenbauweise;1;0;;;3,44;24;24;0,00;36;0000 W;;;;;;;;;;;;;;
über Abstellraum;;Außenwand;Wand massive Konstruktion Vollziegel verputzt größer 30 cm;1,5;0,1;1,5;1,35;1,55;24;-12;1,00;36;0089 W;;;;;;;;;;;;;;
;;Fenster;Fenster Holzrahmen Zweifachverglasung;2,7;0,1;0,95;0,50;0,48;24;-12;1,00;36;0048 W;;;;;;;;;;;;;;
;;Wand Zimmer 1;Rapitzwand;2,5;0;1,7;1,35;2,30;24;20;0,11;36;0023 W;;;;;;;;;;;;;;
;;Wand Küche;Rapitzwand;2,5;0;1,9;1,35;2,57;24;20;0,11;36;0026 W;;;;;;;;;;;;;;
;;Boden;Decke Abstellraum;2,1;0;;;2,78;24;15;0,25;36;0053 W;;;;;;;;;;;;;;
;;Decke;Geschossdecke Holzbalkenbauweise;1;0;;;2,78;24;15;0,25;36;0025 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;0672 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;V m³;cp;;;cp * (V * LW) * (RT - AT);;;;;;;;;;;;;;
Lüftungswärmeverlust W;;;;;;3,32;3,50;3,44;12,04;0,34;;;0490 W;;;;;;;;;;;;;;
;;;;;;3,32;1,00;2,78;2,78;0,34;;;0113 W;;;;;;;;;;;;;;
;;;;;;;;;14,82;;;;;;;;;;;;;;;;;;
Summe Heizlast Bad;;;;;;;;;;;;;1274 W;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Küche;;;;;;;;;;;;;;;;;;;;;;;;;;;
Transmissionswärmeverlust W;;;;;;;;;;;;;;;;;;;;;;;;;;;
